Town,Island
Birkirkara,Malta
Birżebbuġa,Malta
Bormla,Malta
Floriana,Malta
Għajnsielem,Għawdex
Ħad-Dingli,Malta
Ħal Balzan,Malta
Ħal Għargħur,Malta
Ħal Ghaxaq,Malta
Ħal Kirkop,Malta
Ħal Lija,Malta
Ħal Luqa,Malta
Ħal Qormi,Malta
Ħal Safi,Malta
Ħal Tarxien,Malta
Ħ'Attard,Malta
Ħaż-Żabbar,Malta
Ħaż-Żebbuġ,Malta
Il-Birgu,Malta
Il-Fgura,Malta
Il-Fontana,Malta
Il-Gudja,Malta
Il-Gżira,Malta
Il-Ħamrun,Malta
Il-Kalkara,Malta
Il-Marsa,Malta
Il-Mellieħa,Malta
Il-Mosta,Malta
Il-Munxar,Għawdex
Il-Qala,Għawdex
Il-Qrendi,Malta
In-Nadur,Malta
In-Naxxar,Malta
Ir-Rabat,Għawdex
Ir-Rabat,Malta
Is-Siġġiewi,Malta
Is-Swieqi,Malta
Ix-Xagħra,Għawdex
Ix-Xewkija,Għawdex
Ix-Xgħajra,Malta
Iż-Żebbuġ,Għawdex
Iż-Żejtun,Malta
Iż-Żurrieq,Malta
L-Għarb,Għawdex
L-Għasri,Għawdex
L-Iklin,Malta
L-Imdina,Malta
L-Imġarr,Malta
L-Imqabba,Malta
L-Imsida,Malta
L-Imtarfa,Malta
L-Isla,Malta
Marsaskala,Malta
Marsaxlokk,Malta
Pembroke,Malta
Raħal Ġdid,Malta
San Ġiljan,Malta
San Ġwann,Malta
San Lawrenz,Għawdex
San Pawl Il-Baħar,Malta
Santa Luċija,Malta
Santa Venera,Malta
Ta' Kerċem,Għawdex
Ta' Sannat,Għawdex
Ta' Xbiex,Malta
Tal-Pieta',Malta
Tas-Sliema,Malta
Valletta,Malta
